,Hourly energy generation in TWh ->,,,,,,,,,,,,,,,,Consumption ->,,,Storage input ->,,,,State of charge ->,,,,Cost ->,,
hour,offshore_f,offshore_g,onshore,pv_g,pv_c,river,lake,biogas1,biogas2,ocgt,ccgt,nuc,h2_ccgt,phs,battery1,battery4,electrolysis,hydrogen,electricity_demand,ElecStr1,ElecStr4,Pump,hydrogen,ElecStr1,ElecStr4,Pump,hydrogen,elec_balance_dual_values,marginal_cost_of_ocgt,marginal_cost_of_ccgt
,floating offshore wind,ground-based offshore wind,onshore wind,pv grounded,pv commercial,run-of-river hydro,lake and reservoirs,biogas for ocgt,biogas for ccgt,open cycle gas-turbine,combined cycle gas turbine,nuclear,combined cycle gas turbine using hydrogen,pumped hydroelectric energy storage,1 hour battery,4 hours battery,electrolysis,hydrogen removed from storage,electricity_demand,battery1,battery4,phs,hydrogen,battery1,battery4,phs,hydrogen,,,
,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-se,GWh-th,GWh-th,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-th,GW,GW-e,GW-e,GW-e,GW-th,GWh-e,GWh-e,GWh-e,GWh-th,Euros/MWe,Euros/MWe,Euros/MWe
5504,2.59,14.54,69.06,44.07,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,45.34,6.55,0.0,5.62,22.34,11.79,0.0,0.0,8877.31,-0.0,-0.0,-0.0
5505,2.54,15.05,73.26,56.79,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,49.35,6.55,0.0,0.0,22.34,17.68,0.0,5.05,8899.64,-0.0,-0.0,-0.0
5506,2.51,15.47,75.31,64.33,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,52.63,6.55,0.0,0.0,22.34,23.57,0.0,5.05,8921.98,-0.0,-0.0,-0.0
5507,2.58,15.87,76.87,66.77,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,55.89,6.55,0.0,0.0,22.34,29.47,0.0,5.05,8944.32,-0.0,-0.0,-0.0
5508,2.68,16.19,77.33,64.41,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,60.51,6.55,0.0,12.39,22.34,35.36,0.0,5.05,8966.66,-0.0,-0.0,-0.0
5509,2.74,16.51,76.15,56.98,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,63.47,6.55,0.0,12.39,22.34,41.25,0.0,16.2,8988.99,-0.0,-0.0,-0.0
5510,2.75,16.65,73.09,45.06,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,66.9,6.55,0.0,12.39,22.34,47.15,0.0,27.35,9011.33,-0.0,-0.0,-0.0
5511,2.72,16.37,68.66,32.02,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,67.33,6.55,0.0,12.28,22.34,53.04,0.0,38.5,9033.67,-0.0,-0.0,-0.0
5512,2.62,15.29,59.36,18.97,0.0,2.28,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,65.61,2.0,0.0,0.0,22.34,58.93,0.0,49.55,9056.01,12.58,12.58,12.58
5513,2.43,13.42,46.36,6.83,0.0,2.28,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,9.93,0.0,63.04,0.0,0.0,0.0,5.37,60.73,0.0,49.55,9078.34,15.53,15.53,15.53
5514,2.12,11.43,39.87,0.54,0.0,2.36,0.0,0.0,0.0,0.0,0.0,4.96,0.0,7.2,0.0,0.0,5.63,0.0,60.98,0.0,0.0,0.0,1.06,60.73,0.0,49.55,9083.71,15.53,15.53,15.53
5515,1.94,10.08,37.33,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,4.96,0.0,7.2,0.0,5.51,5.6,0.0,62.03,0.0,0.0,0.0,1.04,52.73,0.0,49.55,9084.77,15.53,15.53,15.53
5516,1.89,9.11,34.5,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,4.96,0.0,4.26,0.0,12.08,4.57,0.0,63.28,0.0,0.0,0.0,0.0,44.73,0.0,43.75,9085.81,15.53,15.53,15.53
5517,1.87,8.44,31.89,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,4.96,0.0,7.2,0.0,12.39,4.6,0.0,63.16,0.0,0.0,0.0,0.03,40.0,0.0,31.03,9085.81,15.53,15.53,15.53
5518,1.96,8.4,30.59,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,4.96,0.0,7.2,0.0,12.39,5.93,0.0,60.03,0.0,0.0,0.0,1.36,32.0,0.0,17.99,9085.84,15.53,15.53,15.53
5519,2.18,8.97,30.93,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,4.96,0.0,7.2,0.0,0.04,0.0,4.57,56.68,0.0,0.0,0.0,0.0,24.0,0.0,4.95,9087.2,15.53,15.53,15.53
5520,2.44,9.72,32.86,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,4.66,4.57,0.0,50.78,0.0,0.0,0.0,0.0,16.0,-0.0,4.91,9082.64,15.53,15.53,15.53
5521,2.6,10.15,34.19,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,5.95,0.0,46.0,0.0,0.0,0.0,1.39,16.0,-0.0,0.0,9082.64,15.53,15.53,15.53
5522,2.61,10.39,34.63,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,10.84,0.0,40.24,0.0,0.0,0.0,6.27,16.0,-0.0,0.0,9084.03,15.53,15.53,15.53
5523,2.49,10.56,34.7,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,4.96,0.0,7.2,0.0,0.0,17.93,0.0,38.13,0.0,0.0,0.0,13.37,16.0,0.0,0.0,9090.3,15.53,15.53,15.53
5524,2.28,10.61,33.64,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,12.36,0.0,37.08,0.0,0.0,0.0,7.8,8.0,0.0,0.0,9103.66,15.53,15.53,15.53
5525,2.0,10.04,28.56,1.7,0.0,2.09,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,9.61,0.0,36.54,0.0,0.0,0.0,5.05,8.0,0.0,0.0,9111.46,15.53,15.53,15.53
5526,1.63,8.91,19.85,11.12,0.0,2.06,0.0,0.0,0.0,0.0,0.0,4.96,0.0,7.2,0.0,0.0,15.25,0.0,35.39,0.0,0.0,0.0,10.68,8.0,0.0,0.0,9116.51,15.53,15.53,15.53
5527,1.46,8.95,23.08,25.37,0.0,2.02,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,21.93,0.0,36.6,0.0,0.0,0.0,17.37,0.0,0.0,0.0,9127.19,15.53,15.53,141.04
5528,1.5,9.1,26.27,38.81,0.0,2.01,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,40.32,6.46,0.0,0.0,22.34,0.0,0.0,0.0,9144.56,12.58,12.58,12.58
5529,1.71,8.99,27.34,49.7,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,44.22,6.55,0.0,3.33,22.34,5.82,0.0,0.0,9166.89,10.0,10.0,10.0
5530,2.09,9.06,30.11,55.95,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,47.9,6.55,0.0,9.27,22.34,11.71,-0.0,3.0,9189.23,10.0,10.0,10.0
5531,2.5,9.61,34.92,58.19,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,51.73,6.55,0.0,12.39,22.34,17.6,-0.0,11.35,9211.57,-0.0,-0.0,-0.0
5532,2.82,10.29,39.75,57.03,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,26.9,0.0,57.31,6.55,0.0,12.39,22.34,23.5,-0.0,22.49,9233.91,-0.0,-0.0,-0.0
5533,3.03,10.83,43.37,53.21,0.0,2.38,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,26.9,0.0,60.41,6.55,0.0,12.39,22.34,29.39,0.0,33.64,9256.25,10.0,10.0,10.0
5534,3.12,11.16,45.26,45.97,0.0,2.23,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0,0.0,0.0,26.9,0.0,64.06,6.55,0.0,5.29,22.34,35.29,0.0,44.79,9278.58,10.0,10.0,10.0
5535,3.11,11.08,44.36,35.15,0.0,2.33,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,26.9,0.0,64.93,0.18,0.0,0.0,22.34,41.18,0.0,49.55,9300.92,12.58,12.58,12.58
5536,3.03,10.72,39.14,21.47,0.0,2.31,0.0,0.0,0.0,0.0,0.0,4.96,0.0,4.14,-0.0,12.39,26.13,0.0,63.31,0.0,0.0,0.0,21.57,41.34,0.0,49.55,9323.26,15.53,15.53,15.53
5537,2.94,10.42,33.05,8.03,0.0,2.28,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,12.39,10.13,0.0,60.56,0.0,-0.0,0.0,5.57,36.75,0.0,36.51,9344.82,15.53,15.53,15.53
5538,2.79,10.53,33.22,0.67,0.0,2.34,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,12.39,6.63,0.0,58.07,0.0,0.0,0.0,2.07,36.75,0.0,23.47,9350.39,15.53,15.53,15.53
5539,2.66,11.01,38.38,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.41,0.0,0.0,0.0,4.57,59.93,0.0,0.0,0.0,0.0,36.75,0.0,10.43,9352.46,15.53,15.53,15.53
5540,2.6,11.71,41.67,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.92,3.65,62.32,0.0,0.0,0.0,0.0,36.29,0.0,10.43,9347.89,15.53,15.53,15.53
5541,2.57,12.39,43.63,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,4.96,0.0,7.2,0.0,0.0,7.74,0.0,62.98,0.0,0.0,0.0,3.17,36.29,0.0,10.43,9344.24,15.53,15.53,15.53
5542,2.66,12.89,44.54,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,5.84,0.0,59.65,0.0,0.0,0.0,1.27,28.29,0.0,10.43,9347.41,15.53,15.53,15.53
5543,2.79,13.19,44.62,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,8.54,0.0,56.56,0.0,0.0,0.0,3.98,28.29,0.0,10.43,9348.69,15.53,15.53,15.53
5544,2.91,13.33,44.59,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,9.91,20.35,0.0,50.75,0.0,0.0,0.0,15.78,28.29,0.0,10.43,9352.66,15.53,15.53,15.53
5545,3.07,13.51,45.3,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,4.96,0.0,7.2,0.0,0.0,22.59,0.0,45.99,0.0,0.0,0.0,18.03,28.29,0.0,0.0,9368.44,15.53,15.53,15.53
5546,3.26,13.61,45.97,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,22.31,0.0,40.02,0.0,0.0,0.0,17.74,20.29,0.0,0.0,9386.47,15.53,15.53,15.53
5547,3.44,14.1,46.85,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,-0.0,25.05,0.0,37.98,0.0,0.0,0.0,20.49,20.29,0.0,0.0,9404.21,15.53,15.53,15.53
5548,3.6,14.69,47.97,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.87,0.0,37.45,0.0,-0.0,-0.0,22.3,20.29,0.0,0.0,9424.7,15.53,15.53,15.53
5549,3.64,15.04,47.24,1.72,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,38.12,0.61,0.0,0.0,22.34,20.29,-0.0,0.0,9447.0,12.58,12.58,12.58
5550,3.45,14.95,46.62,12.55,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,26.9,0.0,40.48,6.55,0.0,0.0,22.34,20.84,0.0,0.0,9469.34,10.0,10.0,10.0
5551,3.37,15.12,56.87,29.01,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59,26.9,0.0,44.17,6.55,0.0,12.39,22.34,26.73,0.0,0.0,9491.67,-0.0,-0.0,-0.0
5552,3.26,15.07,62.11,43.59,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,49.04,6.55,0.0,0.0,22.34,32.63,0.0,0.0,9514.01,-0.0,-0.0,-0.0
5553,3.08,14.88,64.22,53.91,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,53.45,6.55,0.0,0.0,22.34,38.52,0.0,0.0,9536.35,-0.0,-0.0,-0.0
5554,3.0,14.85,65.48,62.59,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,56.4,6.55,-0.0,0.0,22.34,44.41,0.0,0.0,9558.69,-0.0,-0.0,-0.0
5555,3.05,15.11,66.81,66.04,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,58.45,6.55,-0.0,5.51,22.34,50.31,0.0,0.0,9581.02,-0.0,-0.0,-0.0
5556,3.18,15.39,67.96,64.46,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,61.58,6.55,0.0,12.39,22.34,56.2,-0.0,4.96,9603.36,-0.0,-0.0,-0.0
5557,3.3,15.52,68.69,59.85,0.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,65.24,6.55,0.0,12.39,22.34,62.09,-0.0,16.1,9625.7,-0.0,-0.0,-0.0
5558,3.43,15.57,68.44,50.85,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,68.8,6.55,0.0,12.39,22.34,67.99,-0.0,27.25,9648.04,-0.0,-0.0,-0.0
5559,3.58,15.58,67.61,37.83,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,69.44,6.55,0.0,12.39,22.34,73.88,0.0,38.4,9670.37,-0.0,-0.0,-0.0
5560,3.71,15.54,64.67,22.64,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,26.9,0.0,67.34,6.55,0.0,0.0,22.34,79.77,0.0,49.55,9692.71,10.0,10.0,10.0
5561,3.73,15.32,57.05,8.28,0.0,2.24,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,20.21,0.0,64.64,0.0,0.0,0.0,15.65,85.67,0.0,49.55,9715.05,15.53,15.53,15.53
5562,3.54,14.68,51.16,0.61,0.0,2.33,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,12.39,18.54,0.0,64.96,0.0,0.0,0.0,13.97,85.67,0.0,49.55,9730.69,15.53,15.53,15.53
5563,3.27,13.89,47.8,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,12.39,12.43,0.0,68.27,0.0,0.0,0.0,7.87,85.67,0.0,36.51,9744.67,15.53,15.53,15.53
5564,3.07,13.28,44.14,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.08,4.49,67.92,0.0,0.0,0.0,0.0,85.67,0.0,23.47,9752.54,15.53,15.53,15.53
5565,2.93,12.78,41.64,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,12.39,7.87,0.0,66.77,0.0,0.0,0.0,3.3,85.67,0.0,23.47,9748.05,15.53,15.53,15.53
5566,2.9,12.2,39.72,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.36,0.0,0.0,0.0,4.57,62.66,0.0,0.0,0.0,0.0,85.67,0.0,10.43,9751.35,15.53,15.53,15.53
5567,2.91,11.74,38.15,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,9.91,7.82,0.0,59.62,0.0,0.0,0.0,3.26,85.27,-0.0,10.43,9746.79,15.53,15.53,15.53
5568,3.01,11.81,38.27,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.63,-0.0,0.0,4.57,0.0,54.9,0.0,0.0,0.0,0.0,85.27,-0.0,0.0,9750.04,15.53,15.53,15.53
5569,3.11,12.12,38.59,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,7.55,0.0,50.8,0.0,0.0,0.0,2.98,84.57,0.0,0.0,9750.04,15.53,15.53,15.53
5570,3.23,12.4,39.71,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,12.83,0.0,44.98,0.0,0.0,0.0,8.26,84.57,0.0,0.0,9753.03,15.53,15.53,15.53
5571,3.39,12.44,39.48,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,14.22,0.0,42.95,0.0,0.0,0.0,9.65,84.57,0.0,0.0,9761.29,15.53,15.53,15.53
5572,3.54,12.55,39.78,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,4.96,0.0,7.2,-0.0,0.0,20.99,0.0,41.78,0.0,0.0,0.0,16.43,84.57,0.0,0.0,9770.94,15.53,15.53,15.53
5573,3.59,12.51,37.61,1.54,0.0,1.77,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,15.61,0.0,41.16,0.0,0.0,0.0,11.04,76.57,0.0,0.0,9787.37,15.53,15.53,15.53
5574,3.58,12.44,35.1,12.59,0.0,1.8,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,20.79,0.0,42.76,0.0,0.0,0.0,16.22,76.57,0.0,0.0,9798.41,15.53,15.53,15.53
5575,3.7,13.04,44.76,28.97,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.87,26.9,0.0,46.25,6.55,0.0,12.39,22.34,76.57,0.0,0.0,9814.63,0.0,0.0,0.0
5576,3.71,13.81,51.52,44.09,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,50.94,6.55,0.0,0.0,22.34,82.46,0.0,1.81,9836.97,-0.0,-0.0,-0.0
5577,3.68,14.67,55.2,55.27,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,55.13,6.55,0.0,0.0,22.34,88.35,0.0,1.81,9859.31,-0.0,-0.0,-0.0
5578,3.75,15.38,58.95,62.5,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,57.83,6.55,0.0,3.5,22.34,94.25,0.0,1.81,9881.64,-0.0,-0.0,-0.0
5579,3.92,15.85,62.7,65.19,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,59.47,6.55,0.0,0.0,22.34,100.14,0.0,4.96,9903.98,-0.0,-0.0,-0.0
5580,4.1,16.15,66.03,63.11,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,62.26,6.55,0.0,12.39,22.34,106.03,0.0,4.96,9926.32,-0.0,-0.0,-0.0
5581,4.21,16.25,68.29,56.48,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,65.65,6.55,-0.0,12.39,22.34,111.93,0.0,16.1,9948.66,-0.0,-0.0,-0.0
5582,4.27,16.26,69.53,46.25,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,69.3,6.55,0.0,12.39,22.34,117.82,-0.0,27.25,9970.99,-0.0,-0.0,-0.0
5583,4.27,16.07,68.89,33.89,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,69.63,6.55,0.0,12.39,22.34,123.71,0.0,38.4,9993.33,-0.0,-0.0,-0.0
5584,4.19,15.51,64.5,21.08,0.0,1.86,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,26.9,0.0,67.47,6.55,0.0,0.0,22.34,129.61,0.0,49.55,10015.67,10.0,10.0,10.0
5585,4.0,14.57,57.07,7.8,0.0,1.97,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,19.14,0.0,64.84,0.0,-0.0,0.0,14.57,135.5,0.0,49.55,10038.01,15.53,15.53,15.53
5586,3.66,13.26,50.64,0.54,0.0,2.01,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,7.41,0.0,65.19,0.0,0.0,0.0,2.84,135.5,0.0,49.55,10052.58,15.53,15.53,15.53
5587,3.3,12.18,48.32,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,2.09,2.47,68.12,0.0,0.0,0.0,0.0,135.5,0.0,49.55,10055.42,15.53,15.53,15.53
5588,3.08,11.29,44.74,0.0,0.0,2.27,1.45,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,67.79,0.0,0.0,0.0,0.0,135.5,0.0,49.55,10052.95,19.18,19.18,19.18
5589,2.78,10.67,41.13,0.0,0.0,2.2,5.14,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,66.87,0.0,0.0,0.0,0.0,135.5,0.0,49.55,10048.38,19.18,19.18,19.18
5590,2.45,10.04,38.17,0.0,0.0,2.13,4.9,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,62.64,0.0,0.0,0.0,0.0,135.5,0.0,49.55,10043.82,19.18,19.18,19.18
5591,2.16,9.07,35.05,0.0,0.0,2.23,0.9,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,5.3,0.0,4.57,59.68,0.0,0.0,0.0,0.0,135.5,0.0,49.55,10039.25,19.18,19.18,19.18
5592,1.95,7.96,32.23,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,4.64,0.0,4.57,53.93,0.0,0.0,0.0,0.0,135.5,0.0,43.97,10034.68,19.18,19.18,19.18
5593,1.79,6.86,29.11,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,5.43,0.0,4.57,50.0,0.0,0.0,0.0,0.0,135.5,0.0,39.08,10030.12,19.18,19.18,19.18
5594,1.66,5.83,25.32,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,4.67,0.0,4.57,44.27,0.0,0.0,0.0,0.0,135.5,0.0,33.36,10025.55,19.18,19.18,19.18
5595,1.56,4.74,21.28,0.0,0.0,1.73,4.86,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,3.17,0.0,4.57,42.29,0.0,0.0,0.0,0.0,135.5,-0.0,28.45,10020.98,19.18,19.18,19.18
5596,1.47,3.75,17.76,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,11.92,0.0,4.57,41.48,0.0,0.0,0.0,0.0,135.5,0.0,25.12,10016.42,19.18,19.18,19.18
5597,1.4,3.01,14.17,1.4,0.0,1.68,0.0,0.0,0.0,0.0,0.0,4.96,0.0,7.2,0.0,7.09,0.0,4.57,40.91,0.0,0.0,0.0,0.0,135.5,0.0,12.57,10011.85,19.18,19.18,19.18
5598,1.35,2.29,10.33,12.06,0.0,1.73,4.85,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,4.85,0.0,4.57,42.42,0.0,0.0,0.0,0.0,127.5,-0.0,5.11,10007.29,19.18,19.18,19.18
5599,1.34,1.94,10.41,28.44,0.0,1.7,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,2.15,2.42,45.93,0.0,0.0,0.0,0.0,127.5,-0.0,0.0,10002.72,15.53,15.53,15.53
5600,1.34,1.92,11.47,44.94,0.0,1.69,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,11.75,0.0,50.65,0.0,0.0,0.0,7.19,127.5,-0.0,0.0,10000.3,15.53,15.53,15.53
5601,1.31,1.9,12.26,56.83,0.0,1.71,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,8.78,0.0,54.88,0.0,0.0,12.39,4.22,127.5,0.0,0.0,10007.49,15.53,15.53,15.53
5602,1.3,1.95,12.98,64.65,0.0,1.81,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,8.32,0.0,57.61,6.55,0.0,12.39,3.76,127.5,0.0,11.15,10011.71,15.53,15.53,15.53
5603,1.3,2.15,14.05,68.26,0.0,1.79,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,15.54,0.0,59.41,0.0,0.0,12.39,10.97,133.39,0.0,22.3,10015.46,15.53,15.53,15.53
5604,1.29,2.3,14.97,67.52,0.0,1.78,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,13.92,0.0,61.87,0.0,-0.0,12.39,9.35,133.39,0.0,33.45,10026.43,15.53,15.53,15.53
5605,1.28,2.28,15.45,62.55,0.0,1.88,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,11.38,0.0,65.38,2.34,0.0,5.51,6.81,133.39,0.0,44.6,10035.79,15.53,15.53,15.53
5606,1.26,2.23,15.34,53.36,0.0,1.67,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,7.41,0.0,68.94,0.0,0.0,0.0,2.84,135.5,0.0,49.55,10042.6,15.53,15.53,15.53
5607,1.29,2.27,14.68,40.21,0.0,1.59,4.39,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,69.38,0.0,0.0,-0.0,0.0,135.5,0.0,49.55,10045.44,19.18,19.18,19.18
5608,1.34,2.34,13.63,24.24,0.0,1.62,12.86,0.0,0.0,0.0,0.0,4.96,0.0,6.41,0.0,0.0,0.0,4.57,67.39,0.0,0.0,0.0,0.0,135.5,0.0,49.55,10040.88,19.18,19.18,19.18
5609,1.39,2.39,12.3,8.3,0.0,1.72,12.86,0.0,0.0,0.0,0.0,4.96,11.4,7.2,0.0,2.23,0.0,24.57,64.75,0.0,0.0,0.0,0.0,128.38,0.0,49.55,10036.31,141.04,141.04,141.04
