,Hourly energy generation in TWh ->,,,,,,,,,,,,,,,,Consumption ->,,,Storage input ->,,,,State of charge ->,,,,Cost ->,,
hour,offshore_f,offshore_g,onshore,pv_g,pv_c,river,lake,biogas1,biogas2,ocgt,ccgt,nuc,h2_ccgt,phs,battery1,battery4,electrolysis,hydrogen,electricity_demand,ElecStr1,ElecStr4,Pump,hydrogen,ElecStr1,ElecStr4,Pump,hydrogen,elec_balance_dual_values,marginal_cost_of_ocgt,marginal_cost_of_ccgt
,floating offshore wind,ground-based offshore wind,onshore wind,pv grounded,pv commercial,run-of-river hydro,lake and reservoirs,biogas for ocgt,biogas for ccgt,open cycle gas-turbine,combined cycle gas turbine,nuclear,combined cycle gas turbine using hydrogen,pumped hydroelectric energy storage,1 hour battery,4 hours battery,electrolysis,hydrogen removed from storage,electricity_demand,battery1,battery4,phs,hydrogen,battery1,battery4,phs,hydrogen,,,
,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-se,GWh-th,GWh-th,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-th,GW,GW-e,GW-e,GW-e,GW-th,GWh-e,GWh-e,GWh-e,GWh-th,Euros/MWe,Euros/MWe,Euros/MWe
37,1.99,2.46,27.9,34.96,0.0,3.64,0.0,0.0,14.29,0.0,8.15,4.96,1.49,0.0,0.0,0.0,0.0,7.19,85.55,0.0,0.0,0.0,0.0,135.5,0.0,49.55,13964.56,162.79,162.79,141.04
38,1.89,2.53,27.48,25.01,0.0,3.31,0.0,0.0,14.29,0.0,8.15,4.96,11.4,1.69,0.0,0.0,0.0,24.57,86.4,0.0,0.0,0.0,0.0,135.5,0.0,49.55,13957.37,200.98,200.98,141.04
39,1.88,2.74,29.34,8.45,0.0,2.97,7.52,0.0,14.29,0.0,8.15,4.96,11.4,7.2,0.0,0.0,0.0,24.57,84.61,0.0,0.0,0.0,0.0,133.62,0.0,49.55,13932.8,200.98,200.98,141.04
40,1.9,2.75,31.01,0.04,0.0,3.07,6.47,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,12.39,0.0,24.57,82.13,0.0,0.0,0.0,0.0,125.62,0.0,49.55,13908.24,200.98,200.98,141.04
41,1.88,2.44,29.66,0.0,0.0,3.38,12.86,5.86,14.29,2.34,8.15,4.96,11.4,7.2,0.0,0.0,0.0,24.57,84.27,0.0,0.0,0.0,0.0,125.62,0.0,36.51,13883.67,200.98,200.98,141.04
42,1.85,1.99,26.48,0.0,0.0,3.78,12.86,28.98,14.29,11.59,8.15,4.96,11.4,7.2,0.0,0.0,0.0,24.57,90.26,0.0,0.0,0.0,0.0,117.62,0.0,36.51,13859.11,200.98,200.98,141.04
43,1.85,1.6,23.06,0.0,0.0,4.13,12.86,48.35,14.29,19.34,8.15,4.96,11.4,7.2,0.0,0.0,0.0,24.57,94.54,0.0,0.0,0.0,0.0,109.62,0.0,36.51,13834.54,200.98,200.98,141.04
44,1.87,1.36,20.15,0.0,0.0,4.06,12.86,52.49,14.29,21.0,8.15,4.96,11.4,7.2,0.0,0.0,0.0,24.57,92.99,0.0,0.0,0.0,0.0,101.62,0.0,36.51,13809.98,200.98,200.98,141.04
45,1.8,1.12,18.22,0.0,0.0,3.82,12.86,50.17,14.29,20.07,8.15,4.96,11.4,7.2,0.0,0.0,0.0,24.57,89.58,0.0,0.0,0.0,0.0,93.62,0.0,36.51,13785.41,200.98,200.98,141.04
46,1.67,0.88,17.02,0.0,0.0,3.68,12.86,45.11,14.29,18.05,8.15,4.96,11.4,7.2,0.0,0.0,0.0,24.57,85.85,0.0,0.0,0.0,0.0,85.62,0.0,36.51,13760.85,200.98,200.98,141.04
47,1.57,0.75,16.71,0.0,0.0,3.62,12.86,17.86,14.29,7.14,8.15,4.96,11.4,7.2,0.0,9.91,0.0,24.57,84.26,0.0,0.0,0.0,0.0,77.62,0.0,36.51,13736.28,200.98,200.98,141.04
48,1.51,0.73,16.87,0.0,0.0,3.44,12.86,9.32,14.29,3.73,8.15,4.96,11.4,7.2,0.0,12.39,0.0,24.57,83.23,0.0,0.0,0.0,0.0,69.62,0.0,26.08,13711.71,200.98,200.98,141.04
49,1.48,0.77,16.95,0.0,0.0,3.36,12.86,0.81,14.29,0.33,8.15,4.96,11.4,7.2,0.0,12.39,0.0,24.57,79.83,0.0,0.0,0.0,0.0,61.62,0.0,13.04,13687.15,200.98,200.98,141.04
50,1.48,0.9,16.75,0.0,0.0,3.04,5.55,38.33,14.29,15.33,8.15,4.96,11.4,7.2,0.0,0.0,0.0,24.57,74.76,0.0,0.0,0.0,0.0,53.62,0.0,0.0,13662.58,200.98,200.98,141.04
51,1.52,1.28,16.66,0.0,0.0,2.84,3.68,38.37,14.29,15.35,8.15,4.96,11.4,7.2,0.0,0.0,0.0,24.57,73.04,0.0,0.0,0.0,0.0,45.62,0.0,0.0,13638.02,200.98,200.98,141.04
52,1.58,1.61,16.94,0.0,0.0,2.54,12.86,12.03,14.29,4.81,8.15,4.96,11.4,7.2,0.0,0.0,0.0,24.57,72.05,0.0,0.0,0.0,0.0,37.62,0.0,0.0,13613.45,200.98,200.98,141.04
53,1.62,1.56,17.12,0.0,0.0,2.4,2.48,56.4,14.29,22.56,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,72.24,0.0,0.0,0.0,0.0,29.62,0.0,0.0,13588.89,200.98,200.98,141.04
54,1.62,1.52,17.11,0.0,0.0,2.36,3.81,59.22,14.29,23.69,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,74.62,0.0,0.0,0.0,0.0,29.62,0.0,0.0,13564.32,200.98,200.98,141.04
55,1.65,1.69,17.37,1.81,0.0,2.4,0.0,59.22,14.29,23.69,8.15,4.96,11.4,6.69,0.0,0.0,0.0,24.57,79.8,0.0,0.0,0.0,0.0,29.62,0.0,0.0,13539.76,200.98,200.98,141.04
56,1.67,1.93,16.82,14.5,0.0,2.71,12.86,2.55,14.29,1.02,8.15,4.96,11.4,7.2,0.0,0.0,0.0,24.57,83.21,0.0,0.0,0.0,0.0,22.19,0.0,0.0,13515.19,200.98,200.98,141.04
57,1.7,2.14,15.93,28.5,0.0,3.02,9.74,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,85.53,0.0,0.0,0.0,0.0,14.19,0.0,0.0,13490.62,200.98,200.98,141.04
58,1.73,2.36,16.57,38.66,0.0,3.4,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,86.4,0.0,0.0,0.82,0.0,14.19,-0.0,0.0,13466.06,171.84,171.84,141.04
59,1.8,2.84,17.48,44.02,0.0,3.56,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,86.6,0.0,0.0,7.61,0.0,14.19,0.0,0.74,13441.49,171.84,171.84,141.04
60,1.85,3.42,18.44,43.66,0.0,3.52,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,87.06,0.0,0.0,8.34,0.0,14.19,0.0,7.59,13416.93,171.84,171.84,141.04
61,1.93,3.83,19.05,37.44,0.0,3.55,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,88.8,0.0,0.0,1.52,0.0,14.19,0.0,15.09,13392.36,171.84,171.84,141.04
62,2.03,4.35,19.48,24.96,0.0,3.17,10.74,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,89.24,0.0,0.0,0.0,0.0,14.19,0.0,16.46,13367.8,200.98,200.98,141.04
63,2.19,5.36,21.79,8.47,0.0,2.85,12.86,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,9.68,0.0,24.57,87.7,0.0,0.0,0.0,0.0,14.19,0.0,16.46,13343.23,200.98,200.98,141.04
64,2.38,6.33,24.1,0.05,0.0,2.6,12.86,31.43,14.29,12.57,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,85.39,0.0,0.0,0.0,0.0,14.19,0.0,6.27,13318.67,200.98,200.98,141.04
65,2.52,6.89,25.05,0.0,0.0,2.86,10.73,37.97,14.29,15.19,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,87.74,0.0,0.0,0.0,0.0,14.19,0.0,6.27,13294.1,200.98,200.98,141.04
66,2.66,7.16,25.77,0.0,0.0,3.24,12.86,37.79,14.29,15.12,8.15,4.96,11.4,0.0,0.0,3.06,0.0,24.57,94.35,0.0,0.0,0.0,0.0,14.19,0.0,6.27,13269.53,200.98,200.98,141.04
67,2.77,7.2,26.27,0.0,0.0,3.86,12.86,37.69,14.29,15.07,8.15,4.96,11.4,5.47,0.0,0.0,0.0,24.57,98.0,0.0,0.0,0.0,0.0,14.19,0.0,3.05,13244.97,200.98,200.98,141.04
68,2.93,7.02,26.32,0.0,0.0,3.77,12.86,37.74,14.29,15.1,8.15,4.96,11.4,3.47,0.0,0.0,0.0,24.57,95.97,0.0,0.0,0.0,0.0,8.11,0.0,3.05,13220.4,200.98,200.98,141.04
69,2.96,6.35,26.27,0.0,0.0,3.49,12.86,37.85,14.29,15.14,8.15,4.96,11.4,0.64,0.0,0.0,0.0,24.57,92.21,0.0,0.0,0.0,0.0,4.25,0.0,3.05,13195.84,200.98,200.98,141.04
70,2.91,5.57,25.94,0.0,0.0,3.52,10.54,37.96,14.29,15.18,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,88.16,0.0,0.0,0.0,0.0,3.54,0.0,3.05,13171.27,200.98,200.98,141.04
71,2.84,5.03,25.42,0.0,0.0,3.61,9.77,38.01,14.29,15.2,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,86.39,0.0,0.0,0.0,0.0,3.54,0.0,3.05,13146.71,200.98,200.98,141.04
72,2.72,5.02,24.13,0.0,0.0,3.33,12.86,27.8,14.29,11.12,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,83.68,0.0,0.0,0.0,0.0,3.54,0.0,3.05,13122.14,200.98,200.98,141.04
73,2.64,5.54,23.0,0.0,0.0,3.18,12.86,21.1,14.29,8.44,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,80.16,0.0,0.0,0.0,0.0,3.54,0.0,3.05,13097.57,200.98,200.98,141.04
74,2.58,6.31,22.14,0.0,0.0,2.97,12.86,2.01,14.29,0.81,8.15,4.96,11.4,0.0,0.0,2.9,0.0,24.57,75.07,0.0,0.0,0.0,0.0,3.54,-0.0,3.05,13073.01,200.98,200.98,141.04
75,2.7,7.45,22.0,0.0,0.0,2.75,12.86,3.76,14.29,1.5,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,73.75,0.0,0.0,0.0,0.0,3.54,-0.0,0.0,13048.44,200.98,200.98,141.04
76,2.91,8.56,23.37,0.0,0.0,2.61,10.05,0.0,14.29,0.0,8.15,4.96,11.4,0.85,0.0,0.0,0.0,24.57,72.84,0.0,0.0,0.0,0.0,3.54,-0.0,0.0,13023.88,200.98,200.98,141.04
77,3.1,9.53,25.71,0.0,0.0,2.63,7.53,0.0,14.29,0.0,8.15,4.96,11.4,0.0,-0.0,0.0,0.0,24.57,72.99,0.0,0.0,0.0,0.0,2.59,-0.0,0.0,12999.31,200.98,200.98,141.04
78,3.21,10.45,28.19,0.0,0.0,2.68,6.1,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,75.13,0.0,0.0,0.0,0.0,2.59,0.0,0.0,12974.75,200.98,200.98,141.04
79,3.27,11.14,31.13,1.8,0.0,2.8,4.44,0.0,14.29,0.0,8.15,4.96,11.4,0.82,0.0,0.0,0.0,24.57,79.9,0.0,0.0,0.0,0.0,2.59,0.0,0.0,12950.18,200.98,200.98,141.04
80,3.24,11.63,32.48,13.06,0.0,3.01,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,83.21,4.72,-0.0,0.0,0.0,1.68,0.0,0.0,12925.62,162.79,162.79,141.04
81,3.1,11.35,31.18,25.59,0.0,3.18,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,85.48,6.55,0.0,6.87,0.0,5.93,-0.0,0.0,12901.05,162.79,162.79,141.04
82,3.05,10.86,31.23,34.4,0.0,3.41,0.0,0.0,14.29,0.0,8.15,4.96,9.24,0.0,0.0,0.0,0.0,20.77,86.36,6.55,0.0,12.39,0.0,11.83,0.0,6.18,12876.48,162.79,162.79,141.04
83,3.19,10.79,31.25,38.39,0.0,3.73,0.0,0.0,14.29,0.0,8.15,4.96,2.91,0.0,0.0,0.0,0.0,9.68,86.65,5.54,0.0,11.18,0.0,17.72,0.0,17.33,12855.71,162.79,162.79,141.04
84,3.33,11.07,30.65,37.46,0.0,3.89,0.0,0.0,14.29,0.0,8.15,4.96,6.2,0.0,0.0,0.0,0.0,15.45,86.78,6.55,0.0,12.39,0.0,22.71,0.0,27.39,12846.04,162.79,162.79,141.04
85,3.34,11.51,30.33,31.99,0.0,3.92,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,88.57,6.55,0.0,10.47,0.0,28.6,0.0,38.54,12830.59,162.79,162.79,141.04
86,3.27,11.81,29.97,21.85,0.0,3.72,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,88.94,6.19,-0.0,0.0,0.0,34.49,0.0,47.96,12806.02,162.79,162.79,141.04
87,3.3,12.48,36.05,7.59,0.0,3.64,0.0,0.0,14.29,0.0,8.15,4.96,11.17,0.0,0.0,0.0,0.0,24.16,87.33,0.0,0.0,0.0,0.0,40.06,-0.0,47.96,12781.46,162.79,162.79,141.04
88,3.44,13.33,46.44,0.01,0.0,3.56,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,85.28,6.02,0.0,0.0,0.0,40.06,-0.0,47.96,12757.29,162.79,162.79,141.04
89,3.43,13.66,50.66,0.0,0.0,3.69,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,87.63,6.55,0.0,1.76,0.0,45.48,-0.0,47.96,12732.73,162.79,162.79,141.04
90,3.24,13.66,50.62,0.0,0.0,4.04,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,94.19,1.88,0.0,0.0,0.0,51.37,0.0,49.55,12708.16,162.79,162.79,141.04
91,3.0,13.32,47.55,0.0,0.0,4.39,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,4.98,0.0,24.57,97.75,0.0,0.0,0.0,0.0,53.06,0.0,49.55,12683.6,200.98,200.98,141.04
92,2.76,12.94,44.19,0.0,0.0,4.35,7.18,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,0.0,0.0,24.57,95.92,0.0,0.0,0.0,0.0,53.06,-0.0,44.31,12659.03,200.98,200.98,141.04
93,2.45,12.37,39.17,0.0,0.0,4.2,0.0,0.0,14.29,0.0,8.15,4.96,11.4,7.2,0.0,2.28,0.0,24.57,92.18,0.0,0.0,0.0,0.0,53.06,-0.0,44.31,12634.46,200.98,200.98,141.04
94,2.08,11.81,35.04,0.0,0.0,4.14,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,-0.0,10.22,0.0,24.57,87.79,0.0,0.0,0.0,0.0,45.06,-0.0,41.91,12609.9,200.98,200.98,141.04
95,1.77,11.25,32.28,0.0,0.0,4.23,0.0,9.16,14.29,3.66,8.15,4.96,11.4,0.0,0.0,7.79,0.0,24.57,85.49,0.0,0.0,0.0,0.0,45.06,0.0,31.15,12585.33,200.98,200.98,141.04
96,1.54,10.63,31.75,0.0,0.0,4.23,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,0.0,11.0,0.0,24.57,83.65,0.0,0.0,0.0,0.0,45.06,-0.0,22.94,12560.77,200.98,200.98,141.04
97,1.39,10.27,32.05,0.0,0.0,4.08,0.0,0.0,14.29,0.0,8.15,4.96,11.4,0.0,-0.0,7.9,0.0,24.57,80.2,0.0,0.0,0.0,0.0,45.06,-0.0,11.36,12536.2,200.98,200.98,141.04
